ID,Brand,Model,Motor,Name,Power,Torque,Weight
15,Audi,S3,8V Sedan (2013-present),AUDI S3 SEDAN (TYPE 8V) (2013-present),10.4,13.4,4.2
57,Audi,A4,B8 3.0 TFSI Sedan/Avant (2009-2015),Audi/A4/B8 3.0 TFSI Sedan/Avant (2009-2015) ,14.2,22,1.2
68,Audi,A5,B8 3.0 TFSI Sportback (2011-2015),Audi A5 B8 3.0 TFSI Sportback (2011-2015) ,15.3,17.4,4.8
72,Audi,A5,B8 3.0 TFSI Coupe/Cabriolet (2011-2015),Audi/A5/B8 3.0 TFSI Coupe/Cabriolet (2011-2015),14.2,22,1.2
74,Audi,A4,B8 1.8/2.0 TFSI Sedan/Avant (2008-2015),Audi/A4/B8 1.8 TFSI Sedan/Avant (2008-2015),8.4,13.8,2.1
76,Audi,A4,B8 2.0 TFSI Sedan/Avant (2008-2015),Audi/A4/B8 2.0 TFSI Sedan/Avant (2008-2015),11,19.3,2.1
110,Audi,S4,B8 3.0 TFSI Sedan/Avant (2008-2015),Audi/S4/B8 3.0 TFSI Sedan/Avant (2008-2015),17.4,24.2,1.2
111,Audi,S5,B8 3.0 TFSI V6 Coupe/Cabriolet (2009-2015),Audi/S5/B8 3.0 TFSI Coupe'/Cabriolet (2009-2015),12.4,15.2,1.2
112,Audi,S5,B8 4.2 V8 FSI Coupe/Cabriolet (2007-2012),Audi/S5/B8 4.2 V8 FSI Coupe'/Cabriolet (2007-2012),12.4,15.2,3.7
113,Audi,S5,B8 3.0 TFSI Sportback (2009-2015),Audi/S5/B8 3.0 TFSI Sportback (2009-2015),12.4,15.2,1.2
118,Audi,RS4,B8 4.2 V8 FSI (2012-2015),Audi/RS4/B8 4.2 V8 FSI (2012-2015),16.6,18.1,1.8
119,Audi,RS5,B8 4.2 V8 FSI (2010-2015),Audi/RS5/B8 4.2 V8 FSI (2010-2015),17.8,18.1,2.2
124,Audi,A6,C7 3.0 TFSI (2011-present),Audi A6 C7 3.0 TFSI (2011-Present),12,18.5,5.2
125,Audi,A7,C7 3.0 TFSI (2012-present),Audi/A7/C7 3.0 TFSI (2012-Present),12,18.5,5.2
